fullName,organizations,location,status,typeOfDeath,Date,mtpage,type,motiveConfirmed,charges,Year
Abadullah Hananzai,"Radio Azadi,Radio Free Europe/Radio Liberty",Afghanistan,Killed,Murder,2018-04-30,https://cpj.org/data/people/abadullah-hananzai/,Journalist,Confirmed,,2018
Abay Hailu,Agiere,Ethiopia,Killed,Dangerous Assignment,1998-02-09,https://cpj.org/data/people/abay-hailu/,Journalist,Confirmed,,1998
Abd al-Karim al-Ezzo,Freelance,Syria,Killed,Crossfire,2012-12-21,https://cpj.org/data/people/abd-al-karim-al-ezzo/,Journalist,Confirmed,,2012
Abdallah Alwan,"Holy Quran Radio,Midan,Mugtama,Al-Jazeera",Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-12-18,https://cpj.org/data/people/abdallah-alwan/,Journalist,Confirmed,,2023
Abdallah Bouhachek,Révolution et Travail,Algeria,Killed,Murder,1996-02-10,https://cpj.org/data/people/abdallah-bouhachek/,Journalist,Confirmed,,1996
Abdallah Iyad Breis,Rawafed educational channel,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-01-08,https://cpj.org/data/people/abdallah-iyad-breis/,Journalist,Confirmed,,2024
Abdel Aziz Mahmoud Hasoun,Masar Press,Syria,Killed,Crossfire,2013-09-05,https://cpj.org/data/people/abdel-aziz-mahmoud-hasoun/,Journalist,Confirmed,,2013
Abdel Karim al-Oqda,Shaam News Network,Syria,Killed,Murder,2012-09-19,https://cpj.org/data/people/abdel-karim-al-oqda/,Journalist,Confirmed,,2012
Abdel Karim al-Rubai,Al-Sabah,Iraq,Killed,Murder,2006-09-09,https://cpj.org/data/people/abdel-karim-al-rubai/,Journalist,Confirmed,,2006
Abdel Karim Nazir Ismail,Freelance,Syria,Killed,Crossfire,2013-01-31,https://cpj.org/data/people/abdel-karim-nazir-ismail/,Journalist,Confirmed,,2013
Abdel Rahman al-Tanani,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-11-18,https://cpj.org/data/people/abdel-rahman-al-tanani/,Journalist,Confirmed,,2023
Abdel Sattar Abdel Karim,Al Ta'akhy,Iraq,Killed,Crossfire,2004-02-01,https://cpj.org/data/people/abdel-sattar-abdel-karim/,Journalist,Confirmed,,2004
Abdelhamid Benmeni,Algérie-Actualité,Algeria,Killed,Murder,1993-08-09,https://cpj.org/data/people/abdelhamid-benmeni/,Journalist,Confirmed,,1993
Abdelhamid Yahiaoui,El-Chaab,Algeria,Killed,Murder,1995-01-12,https://cpj.org/data/people/abdelhamid-yahiaoui/,Journalist,Confirmed,,1995
Abdelkader Hireche,Algerian Television (ENTV),Algeria,Killed,Murder,1994-02-28,https://cpj.org/data/people/abdelkader-hireche/,Journalist,Confirmed,,1994
Abdelqadir Fassouk,Arraed Satellite TV,Libya,Killed,Crossfire,2016-07-21,https://cpj.org/data/people/abdelqadir-fassouk/,Journalist,Confirmed,,2016
Abderrahmane Chergou,Freelance,Algeria,Killed,Murder,1993-09-28,https://cpj.org/data/people/abderrahmane-chergou/,Journalist,Confirmed,,1993
Abdiaziz Ali,Radio Shabelle,Somalia,Killed,Murder,2016-09-27,https://cpj.org/data/people/abdiaziz-ali/,Journalist,Confirmed,,2016
Abdiaziz Mohamud Guled,Radio Mogadishu,Somalia,Killed,Murder,2021-11-20,https://cpj.org/data/people/abdiaziz-mohamud-guled/,Journalist,Confirmed,,2021
Abdihared Osman Aden,Shabelle Media Network,Somalia,Killed,Murder,2013-01-18,https://cpj.org/data/people/abdihared-osman-aden/,Journalist,Confirmed,,2013
Abdinasir Abdulle Ga’al,Somali National Army Radio,Somalia,Killed,Dangerous Assignment,2019-08-14,https://cpj.org/data/people/abdinasir-abdulle-gaal/,Journalist,Confirmed,,2019
Abdirahman Yasin Ali,Radio Hamar,Somalia,Killed,Murder,2012-09-20,https://cpj.org/data/people/abdirahman-yasin-ali/,Journalist,Confirmed,,2012
Abdirisak Mohamed Warsame,Radio Shabelle,Somalia,Killed,Crossfire,2009-05-22,https://cpj.org/data/people/abdirisak-mohamed-warsame/,Journalist,Confirmed,,2009
Abdirizak Ali Abdi,"Radio Daljir,Horn Cable TV",Somalia,Killed,Murder,2014-11-16,https://cpj.org/data/people/abdirizak-ali-abdi/,Journalist,Confirmed,,2014
Abdisalan Sheikh Hassan,Freelance,Somalia,Killed,Murder,2011-12-18,https://cpj.org/data/people/abdisalan-sheikh-hassan/,Journalist,Confirmed,,2011
Abdisatar Daher Sabriye,Radio Mogadishu,Somalia,Killed,Murder,2012-09-20,https://cpj.org/data/people/abdisatar-daher-sabriye/,Journalist,Confirmed,,2012
Abdiwali Ali Hassan,"Freelance; Universal TV,  Radio Kulmiye",Somalia,Killed,Murder,2020-02-16,https://cpj.org/data/people/abdiwali-ali-hassan/,Journalist,Confirmed,,2020
Abdul Aziz Shaheen,Azadi,Pakistan,Killed,Crossfire,2008-08-29,https://cpj.org/data/people/abdul-aziz-shaheen/,Journalist,Confirmed,,2008
Abdul Hakim Shimul,Samakal,Bangladesh,Killed,Dangerous Assignment,2017-02-03,https://cpj.org/data/people/abdul-hakim-shimul/,Journalist,Confirmed,,2017
Abdul Hameed al-Yousef,Kafr Rumah Media Office,Syria,Killed,Crossfire,2019-11-10,https://cpj.org/data/people/abdul-hameed-al-yousef/,Journalist,Confirmed,,2019
Abdul Haq Baloch,ARY Television,Pakistan,Killed,Murder,2012-09-29,https://cpj.org/data/people/abdul-haq-baloch/,Journalist,Confirmed,,2012
Abdul Manan Arghand,Kabul News,Afghanistan,Killed,Murder,2018-04-25,https://cpj.org/data/people/abdul-manan-arghand/,Journalist,Confirmed,,2018
Abdul Nasser Haj Hamdan,Media Office in Binnish,Syria,Killed,Crossfire,2020-02-20,https://cpj.org/data/people/abdul-nasser-haj-hamdan/,Journalist,Confirmed,,2020
Abdul Qadir Hajizai,WASH TV,Pakistan,Killed,Murder,2012-05-28,https://cpj.org/data/people/abdul-qadir-hajizai/,Journalist,Confirmed,,2012
Abdul Qodus,Aryana TV,Afghanistan,Killed,Dangerous Assignment,2006-07-22,https://cpj.org/data/people/abdul-qodus/,Journalist,Confirmed,,2006
Abdul Raheem Kour Hassan,Watan FM,Syria,Killed,Dangerous Assignment,2013-01-01,https://cpj.org/data/people/abdul-raheem-kour-hassan/,Journalist,Confirmed,,2013
Abdul Rahman Bahr,Palestine Breaking News,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-10-05,https://cpj.org/data/people/abdul-rahman-bahr/,Journalist,Confirmed,,2024
Abdul Rahman Ismael Yassin,Hammouriyeh Media Office,Syria,Killed,Crossfire,2018-02-20,https://cpj.org/data/people/abdul-rahman-ismael-yassin/,Journalist,Confirmed,,2018
Abdul Rahman Saima,Raqami TV,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-03-14,https://cpj.org/data/people/abdul-rahman-saima/,Journalist,Confirmed,,2024
Abdul Razzak Johra,Royal TV,Pakistan,Killed,Murder,2008-11-03,https://cpj.org/data/people/abdul-razzak-johra/,Journalist,Confirmed,,2008
Abdul Salam Kanaan,Al-Jisr TV,Syria,Killed,Crossfire,2016-10-31,https://cpj.org/data/people/abdul-salam-kanaan/,Journalist,Confirmed,,2016
Abdul Samad Rohani,BBC and Pajhwok Afghan News,Afghanistan,Killed,Murder,2008-06-07,https://cpj.org/data/people/abdul-samad-rohani/,Journalist,Confirmed,,2008
Abdul Shariff,Freelance,South Africa,Killed,Crossfire,1994-01-09,https://cpj.org/data/people/abdul-shariff/,Journalist,Confirmed,,1994
Abdul Wahab,Express News,Pakistan,Killed,Dangerous Assignment,2010-12-06,https://cpj.org/data/people/abdul-wahab/,Journalist,Confirmed,,2010
Abdul-Rahim Nasrallah al-Shimari,Al-Shaabiya,Iraq,Killed,Murder,2006-10-12,https://cpj.org/data/people/abdul-rahim-nasrallah-al-shimari/,Journalist,Confirmed,,2006
Abdulai Jumah Jalloh,African Champion,Sierra Leone,Killed,Murder,1999-02-03,https://cpj.org/data/people/abdulai-jumah-jalloh/,Journalist,Confirmed,,1999
