fullName,organizations,location,status,typeOfDeath,startDisplay,mtpage,type,motiveConfirmed,charges
Abadullah Hananzai,"Radio Azadi,Radio Free Europe/Radio Liberty",Afghanistan,Killed,Murder,"April 30, 2018",https://cpj.org/data/people/abadullah-hananzai/,Journalist,Confirmed,
Abay Hailu,Agiere,Ethiopia,Killed,Dangerous Assignment,"February 9, 1998",https://cpj.org/data/people/abay-hailu/,Journalist,Confirmed,
Abd al-Karim al-Ezzo,Freelance,Syria,Killed,Crossfire,"December 21, 2012",https://cpj.org/data/people/abd-al-karim-al-ezzo/,Journalist,Confirmed,
Abdallah Alwan,"Holy Quran Radio,Midan,Mugtama,Al-Jazeera",Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,"December 18, 2023",https://cpj.org/data/people/abdallah-alwan/,Journalist,Confirmed,
Abdallah Bouhachek,Révolution et Travail,Algeria,Killed,Murder,"February 10, 1996",https://cpj.org/data/people/abdallah-bouhachek/,Journalist,Confirmed,
Abdallah Iyad Breis,Rawafed educational channel,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,"January 8, 2024",https://cpj.org/data/people/abdallah-iyad-breis/,Journalist,Confirmed,
Abdel Aziz Mahmoud Hasoun,Masar Press,Syria,Killed,Crossfire,"September 5, 2013",https://cpj.org/data/people/abdel-aziz-mahmoud-hasoun/,Journalist,Confirmed,
Abdel Karim al-Oqda,Shaam News Network,Syria,Killed,Murder,"September 19, 2012",https://cpj.org/data/people/abdel-karim-al-oqda/,Journalist,Confirmed,
Abdel Karim al-Rubai,Al-Sabah,Iraq,Killed,Murder,"September 9, 2006",https://cpj.org/data/people/abdel-karim-al-rubai/,Journalist,Confirmed,
Abdel Karim Nazir Ismail,Freelance,Syria,Killed,Crossfire,"January 31, 2013",https://cpj.org/data/people/abdel-karim-nazir-ismail/,Journalist,Confirmed,
Abdel Rahman al-Tanani,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,"November 18, 2023",https://cpj.org/data/people/abdel-rahman-al-tanani/,Journalist,Confirmed,
Abdel Sattar Abdel Karim,Al Ta'akhy,Iraq,Killed,Crossfire,"February 1, 2004",https://cpj.org/data/people/abdel-sattar-abdel-karim/,Journalist,Confirmed,
Abdelhamid Benmeni,Algérie-Actualité,Algeria,Killed,Murder,"August 9, 1993",https://cpj.org/data/people/abdelhamid-benmeni/,Journalist,Confirmed,
Abdelhamid Yahiaoui,El-Chaab,Algeria,Killed,Murder,"January 12, 1995",https://cpj.org/data/people/abdelhamid-yahiaoui/,Journalist,Confirmed,
Abdelkader Hireche,Algerian Television (ENTV),Algeria,Killed,Murder,"February 28, 1994",https://cpj.org/data/people/abdelkader-hireche/,Journalist,Confirmed,
Abdelqadir Fassouk,Arraed Satellite TV,Libya,Killed,Crossfire,"July 21, 2016",https://cpj.org/data/people/abdelqadir-fassouk/,Journalist,Confirmed,
Abderrahmane Chergou,Freelance,Algeria,Killed,Murder,"September 28, 1993",https://cpj.org/data/people/abderrahmane-chergou/,Journalist,Confirmed,
Abdiaziz Ali,Radio Shabelle,Somalia,Killed,Murder,"September 27, 2016",https://cpj.org/data/people/abdiaziz-ali/,Journalist,Confirmed,
Abdiaziz Mohamud Guled,Radio Mogadishu,Somalia,Killed,Murder,"November 20, 2021",https://cpj.org/data/people/abdiaziz-mohamud-guled/,Journalist,Confirmed,
Abdihared Osman Aden,Shabelle Media Network,Somalia,Killed,Murder,"January 18, 2013",https://cpj.org/data/people/abdihared-osman-aden/,Journalist,Confirmed,
Abdinasir Abdulle Ga’al,Somali National Army Radio,Somalia,Killed,Dangerous Assignment,"August 14, 2019",https://cpj.org/data/people/abdinasir-abdulle-gaal/,Journalist,Confirmed,
Abdirahman Yasin Ali,Radio Hamar,Somalia,Killed,Murder,"September 20, 2012",https://cpj.org/data/people/abdirahman-yasin-ali/,Journalist,Confirmed,
Abdirisak Mohamed Warsame,Radio Shabelle,Somalia,Killed,Crossfire,"May 22, 2009",https://cpj.org/data/people/abdirisak-mohamed-warsame/,Journalist,Confirmed,
Abdirizak Ali Abdi,"Radio Daljir,Horn Cable TV",Somalia,Killed,Murder,"November 16, 2014",https://cpj.org/data/people/abdirizak-ali-abdi/,Journalist,Confirmed,
Abdisalan Sheikh Hassan,Freelance,Somalia,Killed,Murder,"December 18, 2011",https://cpj.org/data/people/abdisalan-sheikh-hassan/,Journalist,Confirmed,
Abdisatar Daher Sabriye,Radio Mogadishu,Somalia,Killed,Murder,"September 20, 2012",https://cpj.org/data/people/abdisatar-daher-sabriye/,Journalist,Confirmed,
Abdiwali Ali Hassan,"Freelance; Universal TV,  Radio Kulmiye",Somalia,Killed,Murder,"February 16, 2020",https://cpj.org/data/people/abdiwali-ali-hassan/,Journalist,Confirmed,
Abdul Aziz Shaheen,Azadi,Pakistan,Killed,Crossfire,"August 29, 2008",https://cpj.org/data/people/abdul-aziz-shaheen/,Journalist,Confirmed,
Abdul Hakim Shimul,Samakal,Bangladesh,Killed,Dangerous Assignment,"February 3, 2017",https://cpj.org/data/people/abdul-hakim-shimul/,Journalist,Confirmed,
Abdul Hameed al-Yousef,Kafr Rumah Media Office,Syria,Killed,Crossfire,"November 10, 2019",https://cpj.org/data/people/abdul-hameed-al-yousef/,Journalist,Confirmed,
Abdul Haq Baloch,ARY Television,Pakistan,Killed,Murder,"September 29, 2012",https://cpj.org/data/people/abdul-haq-baloch/,Journalist,Confirmed,
Abdul Manan Arghand,Kabul News,Afghanistan,Killed,Murder,"April 25, 2018",https://cpj.org/data/people/abdul-manan-arghand/,Journalist,Confirmed,
Abdul Nasser Haj Hamdan,Media Office in Binnish,Syria,Killed,Crossfire,"February 20, 2020",https://cpj.org/data/people/abdul-nasser-haj-hamdan/,Journalist,Confirmed,
Abdul Qadir Hajizai,WASH TV,Pakistan,Killed,Murder,"May 28, 2012",https://cpj.org/data/people/abdul-qadir-hajizai/,Journalist,Confirmed,
Abdul Qodus,Aryana TV,Afghanistan,Killed,Dangerous Assignment,"July 22, 2006",https://cpj.org/data/people/abdul-qodus/,Journalist,Confirmed,
Abdul Raheem Kour Hassan,Watan FM,Syria,Killed,Dangerous Assignment,"January 1, 2013",https://cpj.org/data/people/abdul-raheem-kour-hassan/,Journalist,Confirmed,
Abdul Rahman Bahr,Palestine Breaking News,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,"October 5, 2024",https://cpj.org/data/people/abdul-rahman-bahr/,Journalist,Confirmed,
Abdul Rahman Ismael Yassin,Hammouriyeh Media Office,Syria,Killed,Crossfire,"February 20, 2018",https://cpj.org/data/people/abdul-rahman-ismael-yassin/,Journalist,Confirmed,
Abdul Rahman Saima,Raqami TV,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,"March 14, 2024",https://cpj.org/data/people/abdul-rahman-saima/,Journalist,Confirmed,
Abdul Razzak Johra,Royal TV,Pakistan,Killed,Murder,"November 3, 2008",https://cpj.org/data/people/abdul-razzak-johra/,Journalist,Confirmed,
Abdul Salam Kanaan,Al-Jisr TV,Syria,Killed,Crossfire,"October 31, 2016",https://cpj.org/data/people/abdul-salam-kanaan/,Journalist,Confirmed,
Abdul Samad Rohani,BBC and Pajhwok Afghan News,Afghanistan,Killed,Murder,"June 7, 2008",https://cpj.org/data/people/abdul-samad-rohani/,Journalist,Confirmed,
Abdul Shariff,Freelance,South Africa,Killed,Crossfire,"January 9, 1994",https://cpj.org/data/people/abdul-shariff/,Journalist,Confirmed,
Abdul Wahab,Express News,Pakistan,Killed,Dangerous Assignment,"December 6, 2010",https://cpj.org/data/people/abdul-wahab/,Journalist,Confirmed,
Abdul-Rahim Nasrallah al-Shimari,Al-Shaabiya,Iraq,Killed,Murder,"October 12, 2006",https://cpj.org/data/people/abdul-rahim-nasrallah-al-shimari/,Journalist,Confirmed,
Abdulai Jumah Jalloh,African Champion,Sierra Leone,Killed,Murder,"February 3, 1999",https://cpj.org/data/people/abdulai-jumah-jalloh/,Journalist,Confirmed,
Abdulhadi Habib,"Al-Manara News Agency,HQ media",Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,"October 16, 2023",https://cpj.org/data/people/abdulhadi-habib/,Journalist,Confirmed,
Abdulkadir Ahmed,Freelance,Somalia,Killed,Murder,"December 5, 2014",https://cpj.org/data/people/abdulkadir-ahmed/,Journalist,Confirmed,
Abdulkadir Mahad Moallim Kaskey,Radio Banadir,Somalia,Killed,Crossfire,"August 24, 2007",https://cpj.org/data/people/abdulkadir-mahad-moallim-kaskey/,Journalist,Confirmed,
Abdulkhafar Abdulkadir,Freelance,Somalia,Killed,Crossfire,"December 3, 2009",https://cpj.org/data/people/abdulkhafar-abdulkadir/,Journalist,Confirmed,
Abdullah al-Qadry,Belqees TV,Yemen,Killed,Crossfire,"April 13, 2018",https://cpj.org/data/people/abdullah-al-qadry/,Journalist,Confirmed,
Abdullah Darwish,Al Aqsa TV,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,"December 1, 2023",https://cpj.org/data/people/abdullah-darwish/,Journalist,Confirmed,
Abdullah Mire Hashi,Darul Sunnah,Somalia,Killed,Murder,"October 27, 2018",https://cpj.org/data/people/abdullah-mire-hashi/,Journalist,Confirmed,
Abdullah Mohammad Ghannam,Shahba Press Agency,Syria,Killed,Crossfire,"July 14, 2016",https://cpj.org/data/people/abdullah-mohammad-ghannam/,Journalist,Confirmed,
Abdullah Qabil,"Yemen Youth TV, Belqees TV",Yemen,Killed,Crossfire,"May 21, 2015",https://cpj.org/data/people/abdullah-qabil/,Journalist,Confirmed,
Abdullahi Madkeer,DMC Radio,Somalia,Killed,Dangerous Assignment,"January 24, 2003",https://cpj.org/data/people/abdullahi-madkeer/,Journalist,Confirmed,
Abdullahi Osman Moalim,"Jubbaland TV, Codka Hiraan",Somalia,Killed,Murder,"September 13, 2017",https://cpj.org/data/people/abdullahi-osman-moalim/,Journalist,Confirmed,
Abdulmalik Akhmedilov,Hakikat and Sogratl,Russia,Killed,Murder,"August 11, 2009",https://cpj.org/data/people/abdulmalik-akhmedilov/,Journalist,Confirmed,
Abdulrazak Hashim Ayal al-Khakani,Jumhuriyat al-Iraq,Iraq,Killed,Murder,"February 5, 2007",https://cpj.org/data/people/abdulrazak-hashim-ayal-al-khakani/,Journalist,Confirmed,
Abshir Ali Gabre,Radio Jowhar,Somalia,Killed,Crossfire,"May 16, 2007",https://cpj.org/data/people/abshir-ali-gabre/,Journalist,Confirmed,
Abu Taher Md Turab,"Daily Jalalabad, Daily Naya Diganta",Bangladesh,Killed,Dangerous Assignment,"July 19, 2024",https://cpj.org/data/people/abu-taher-md-turab/,Journalist,Confirmed,
Abukar Hassan Mohamoud,Somaliweyn Radio,Somalia,Killed,Murder,"February 28, 2012",https://cpj.org/data/people/abukar-hassan-mohamoud/,Journalist,Confirmed,
Achyutananda Sahu,Doordarshan,India,Killed,Crossfire,"October 30, 2018",https://cpj.org/data/people/achyutananda-sahu/,Journalist,Confirmed,
Adam Juma,Raja FM,South Sudan,Killed,Murder,"January 25, 2015",https://cpj.org/data/people/adam-juma/,Journalist,Confirmed,
Adam Ward,WDBJ7,USA,Killed,Dangerous Assignment,"August 26, 2015",https://cpj.org/data/people/adam-ward/,Journalist,Confirmed,
Adeeb al-Janani,Belqees TV,Yemen,Killed,Dangerous Assignment,"December 30, 2020",https://cpj.org/data/people/adeeb-al-janani/,Journalist,Confirmed,
Adel Naji al-Mansouri,Al-Alam,Iraq,Killed,Murder,"July 29, 2006",https://cpj.org/data/people/adel-naji-al-mansouri/,Journalist,Confirmed,
Adel Sayegh,Salaheddin TV,Iraq,Killed,Murder,"August 1, 2015",https://cpj.org/data/people/adel-sayegh/,Journalist,Confirmed,
Adel Zerrouk,Al-Rai,Algeria,Killed,Dangerous Assignment,"June 14, 2001",https://cpj.org/data/people/adel-zerrouk/,Journalist,Confirmed,
Adel Zorob,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,"December 19, 2023",https://cpj.org/data/people/adel-zorob/,Journalist,Confirmed,
Adham Hassouna,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,"December 1, 2023",https://cpj.org/data/people/adham-hassouna/,Journalist,Confirmed,
Adil Bunyatov,Reuters TV and Turan News Agency,Azerbaijan,Killed,Crossfire,"March 17, 1995",https://cpj.org/data/people/adil-bunyatov/,Journalist,Confirmed,
Adlan Khasanov,Reuters,Russia,Killed,Dangerous Assignment,"May 9, 2004",https://cpj.org/data/people/adlan-khasanov/,Journalist,Confirmed,
Adnan al-Bayati,TG3,Iraq,Killed,Murder,"July 23, 2005",https://cpj.org/data/people/adnan-al-bayati/,Journalist,Confirmed,
Adnan al-Safi,Al-Anwar,Iraq,Killed,Murder,"July 27, 2007",https://cpj.org/data/people/adnan-al-safi/,Journalist,Confirmed,
Adnan Khairallah,Wasan Productions and Al-Arabiya,Iraq,Killed,Murder,"February 23, 2006",https://cpj.org/data/people/adnan-khairallah/,Journalist,Confirmed,
Adolfo Isuiza Urquia,Radio Tropical,Peru,Killed,Murder,"August 23, 1992",https://cpj.org/data/people/adolfo-isuiza-urquia/,Journalist,Confirmed,
Adolphe Missamba Ndengi Kavula,Nsemo,Democratic Republic of the Congo,Killed,Murder,"November 12, 1994",https://cpj.org/data/people/adolphe-missamba-ndengi-kavula/,Journalist,Confirmed,
Adrián Silva Moreno,Freelance,Mexico,Killed,Dangerous Assignment,"November 14, 2012",https://cpj.org/data/people/adrian-silva-moreno/,Journalist,Confirmed,
Agus Muliawan,Asia Press International,East Timor,Killed,Dangerous Assignment,"September 25, 1999",https://cpj.org/data/people/agus-muliawan/,Journalist,Confirmed,
Ahmad Hallak,Al-Buraq Media Institution,Syria,Killed,Crossfire,"August 2, 2016",https://cpj.org/data/people/ahmad-hallak/,Journalist,Confirmed,
Ahmad Jamal al Madhoun,Al-Rai,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,"December 24, 2023",https://cpj.org/data/people/ahmad-jamal-al-madhoun/,Journalist,Confirmed,
Ahmad Kareem,Kurdistan TV,Iraq,Killed,Crossfire,"August 25, 2003",https://cpj.org/data/people/ahmad-kareem/,Journalist,Confirmed,
Ahmad Mohamed Mahmoud,Al-Ta'awun,Egypt,Killed,Dangerous Assignment,"February 4, 2011",https://cpj.org/data/people/ahmad-mohamed-mahmoud/,Journalist,Confirmed,
Ahmad Omaid Khpalwak,"Pajhwok Afghan News, BBC",Afghanistan,Killed,Crossfire,"July 28, 2011",https://cpj.org/data/people/ahmad-omaid-khpalwak/,Journalist,Confirmed,
Ahmad Sha'ban,Al-Shaabiya,Iraq,Killed,Murder,"October 12, 2006",https://cpj.org/data/people/ahmad-shaban/,Journalist,Confirmed,
Ahmed (aka Hakim) Takouchet,Radio Cirta,Algeria,Killed,Murder,"June 18, 1995",https://cpj.org/data/people/ahmed-aka-hakim-takouchet/,Journalist,Confirmed,
Ahmed Abdel Gawad,"Al-Akhbar, Misr25",Egypt,Killed,Dangerous Assignment,"August 14, 2013",https://cpj.org/data/people/ahmed-abdel-gawad/,Journalist,Confirmed,
Ahmed Abdul Samad,Dijlah TV,Iraq,Killed,Dangerous Assignment,"January 10, 2020",https://cpj.org/data/people/ahmed-abdul-samad/,Journalist,Confirmed,
Ahmed Abu al-Hamza,"SMART News Agency, Hama Media Center",Syria,Killed,Crossfire,"November 6, 2015",https://cpj.org/data/people/ahmed-abu-al-hamza/,Journalist,Confirmed,
Ahmed Abu Al-Rous,Fourth Estate,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,"January 15, 2025",https://cpj.org/data/people/ahmed-abu-al-rous/,Journalist,Confirmed,
Ahmed Abu Hussein,"Voice of the People Radio,Bisan News Agency",Israel and the Occupied Palestinian Territory,Killed,Murder,"April 25, 2018",https://cpj.org/data/people/ahmed-abu-hussein/,Journalist,Confirmed,
Ahmed Abu Mhadi,Al-Aqsa TV,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,"October 25, 2023",https://cpj.org/data/people/ahmed-abu-mhadi/,Journalist,Confirmed,
Ahmed Abu Sharia,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,"November 19, 2024",https://cpj.org/data/people/ahmed-abu-sharia/,Journalist,Confirmed,
Ahmed Abu Skheil,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,"November 9, 2024",https://cpj.org/data/people/ahmed-abu-skheil/,Journalist,Confirmed,
Ahmed Adam,Al-Mada,Iraq,Killed,Murder,"May 15, 2005",https://cpj.org/data/people/ahmed-adam/,Journalist,Confirmed,
Ahmed Addow Anshur,Shabelle Media Network,Somalia,Killed,Murder,"May 24, 2012",https://cpj.org/data/people/ahmed-addow-anshur/,Journalist,Confirmed,
Ahmed Adnan al-Ashlaq,Shaam News Network,Syria,Killed,Crossfire,"May 27, 2012",https://cpj.org/data/people/ahmed-adnan-al-ashlaq/,Journalist,Confirmed,
Ahmed Al Shayyah,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,"January 15, 2025",https://cpj.org/data/people/ahmed-al-shayyah/,Journalist,Confirmed,
Ahmed al-Assam,Freelance,Syria,Killed,Crossfire,"May 28, 2012",https://cpj.org/data/people/ahmed-al-assam/,Journalist,Confirmed,
Ahmed Al-Helou,Quds News Network,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,"May 15, 2025",https://cpj.org/data/people/ahmed-al-helou/,Journalist,Confirmed,
Ahmed Al-Louh,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,"December 15, 2024",https://cpj.org/data/people/ahmed-al-louh/,Journalist,Confirmed,
Ahmed Al-Qara,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,"November 10, 2023",https://cpj.org/data/people/ahmed-al-qara/,Journalist,Confirmed,
Ahmed al-Rubai'i,Al-Sabah,Iraq,Killed,Murder,"April 1, 2005",https://cpj.org/data/people/ahmed-al-rubaii/,Journalist,Confirmed,
Ahmed al-Shaibani,"Yaman News, Yemen TV",Yemen,Killed,Crossfire,"February 16, 2016",https://cpj.org/data/people/ahmed-al-shaibani/,Journalist,Confirmed,
Ahmed Assem el-Senousy,Freedom and Justice,Egypt,Killed,Dangerous Assignment,"July 8, 2013",https://cpj.org/data/people/ahmed-assem-el-senousy/,Journalist,Confirmed,
Ahmed Azize,Aleppo News Network,Syria,Killed,Crossfire,"August 10, 2018",https://cpj.org/data/people/ahmed-azize/,Journalist,Confirmed,
Ahmed Bdeir,Bawabat al-Hadaf,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,"January 10, 2024",https://cpj.org/data/people/ahmed-bdeir/,Journalist,Confirmed,
Ahmed Farah Ilyas,Universal TV,Somalia,Killed,Murder,"October 23, 2012",https://cpj.org/data/people/ahmed-farah-ilyas/,Journalist,Confirmed,
